TIME:       48 | ROBOT: 2 | EVENT: MOVE_R   | COORDS: (8, 7)
TIME:       48 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (3, 6)
TIME:       48 | ROBOT: 3 | EVENT: MOVE_L   | COORDS: (1, 6)
TIME:       49 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (2, 6)
TIME:       49 | ROBOT: 3 | EVENT: MOVE_L   | COORDS: (0, 6)
TIME:       49 | ROBOT: 2 | EVENT: MOVE_D   | COORDS: (8, 8)
TIME:       50 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (1, 6)
TIME:       50 | ROBOT: 3 | EVENT: MOVE_D   | COORDS: (0, 7)
TIME:       50 | ROBOT: 2 | EVENT: MOVE_L   | COORDS: (7, 8)
TIME:       51 | ROBOT: 3 | EVENT: MOVE_D   | COORDS: (0, 8)
TIME:       51 | ROBOT: 2 | EVENT: MOVE_L   | COORDS: (6, 8)
TIME:       51 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (0, 6)
TIME:       52 | ROBOT: 1 | EVENT: MOVE_D   | COORDS: (0, 7)
TIME:       52 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (1, 8)
TIME:       52 | ROBOT: 2 | EVENT: MOVE_L   | COORDS: (5, 8)
TIME:       53 | ROBOT: 1 | EVENT: MOVE_D   | COORDS: (0, 8)
TIME:       53 | ROBOT: 2 | EVENT: MOVE_U   | COORDS: (5, 7)
TIME:       53 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (2, 8)
TIME:       54 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (1, 8)
TIME:       54 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (3, 8)
TIME:       54 | ROBOT: 2 | EVENT: MOVE_L   | COORDS: (4, 7)
TIME:       55 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (2, 8)
TIME:       55 | ROBOT: 2 | EVENT: MOVE_U   | COORDS: (4, 6)
TIME:       55 | ROBOT: 3 | EVENT: MOVE_U   | COORDS: (3, 7)
TIME:       56 | ROBOT: 2 | EVENT: MOVE_L   | COORDS: (3, 6)
TIME:       56 | ROBOT: 1 | EVENT: MOVE_U   | COORDS: (2, 7)
TIME:       57 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (4, 7)
TIME:       57 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (1, 7)
TIME:       57 | ROBOT: 2 | EVENT: MOVE_L   | COORDS: (2, 6)
TIME:       58 | ROBOT: 3 | EVENT: MOVE_U   | COORDS: (4, 6)
TIME:       58 | ROBOT: 1 | EVENT: MOVE_U   | COORDS: (1, 6)
TIME:       59 | ROBOT: 3 | EVENT: MOVE_L   | COORDS: (3, 6)
TIME:       59 | ROBOT: 2 | EVENT: MOVE_D   | COORDS: (2, 7)
TIME:       59 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (0, 6)
TIME:       60 | ROBOT: 3 | EVENT: MOVE_L   | COORDS: (2, 6)
TIME:       60 | ROBOT: 1 | EVENT: MOVE_D   | COORDS: (0, 7)
TIME:       61 | ROBOT: 3 | EVENT: MOVE_L   | COORDS: (1, 6)
TIME:       61 | ROBOT: 2 | EVENT: MOVE_D   | COORDS: (2, 8)
TIME:       61 | ROBOT: 1 | EVENT: MOVE_D   | COORDS: (0, 8)
TIME:       62 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (1, 8)
TIME:       62 | ROBOT: 2 | EVENT: MOVE_U   | COORDS: (2, 7)
TIME:       62 | ROBOT: 3 | EVENT: MOVE_L   | COORDS: (0, 6)
TIME:       63 | ROBOT: 3 | EVENT: MOVE_D   | COORDS: (0, 7)
